HoloWAN Recorder File (www.msytest.com)
 NetworkType: "Unknown"
test_name: "Xicen (12-05 00:41:19)"
Destination: "172.30.153.236:8081"
Start Time: 2025-12-05 00:41:19
End Time: 2025-12-05 01:41:23
Interval(sec): 0.2
Packet Size(byte): 512
Enable Reordering: True
Contents: Delay1(ms),Loss1(%),Bandwidth1(Mbps),Delay2(ms),Loss2(%),Bandwidth2(Mbps)
Switch: 1,1,1,1,1,1
------------------------------------------------
22.643125,0.000000,0.085120,19.163056,0.000000,0.191520
22.919100,0.000000,0.106400,26.440200,0.000000,0.212800
17.982000,0.000000,0.106400,17.267833,0.000000,0.191520
15.249900,0.000000,0.106400,18.429300,0.000000,0.191520
24.872375,0.000000,0.085120,24.259278,0.000000,0.212800
17.399700,0.000000,0.106400,19.102500,0.000000,0.191520
23.572500,0.000000,0.085120,18.734850,0.000000,0.191520
22.576875,0.000000,0.106400,20.916667,0.000000,0.212800
18.799600,0.000000,0.106400,21.581950,0.000000,0.191520
16.187200,0.000000,0.106400,17.596611,0.000000,0.212800
19.355500,0.000000,0.085120,16.009111,0.000000,0.191520
20.982600,0.000000,0.106400,24.255300,0.000000,0.191520
16.938400,0.000000,0.106400,20.318944,0.000000,0.212800
15.137700,0.000000,0.106400,17.542000,0.000000,0.191520
22.011125,0.000000,0.085120,17.077278,0.000000,0.212800
17.619900,0.000000,0.106400,19.417778,0.000000,0.191520
22.912800,0.000000,0.085120,19.918450,0.000000,0.212800
24.266500,0.000000,0.106400,22.092389,0.000000,0.191520
17.889100,0.000000,0.106400,21.987400,0.000000,0.191520
19.240000,0.000000,0.085120,19.142389,0.000000,0.212800
26.873375,0.000000,0.106400,27.786667,0.000000,0.191520
26.357200,0.000000,0.106400,25.477000,0.000000,0.191520
20.055300,0.000000,0.106400,23.191944,0.000000,0.212800
33.780100,0.000000,0.063840,32.810900,0.000000,0.191520
27.364375,0.000000,0.127680,27.801611,0.000000,0.212800
23.590800,0.000000,0.106400,21.886667,0.000000,0.191520
60.226200,0.000000,0.042560,63.696950,0.000000,0.212800
